Name of model: Tensorflow model
Tested: 15/06/2021 17:06:02
Your model tested value: 0.866100013256073
Generating random algorithm: numpy.normal

Sigma	Tested value
0.261	0.2037000060081482
0.262	0.07940000295639038
0.263	0.11110000312328339
0.264	0.1462000012397766
0.265	0.19670000672340393
0.266	0.1298999935388565
0.267	0.10559999942779541
0.268	0.21699999272823334
0.269	0.10819999873638153
0.27	0.13539999723434448
0.271	0.09969999641180038
0.272	0.16300000250339508
0.273	0.1370999962091446
0.274	0.16220000386238098
0.275	0.1859000027179718
0.276	0.17910000681877136
0.277	0.120899997651577
0.278	0.2037000060081482
0.279	0.1607999950647354
0.28	0.1436000019311905
0.281	0.11309999972581863
0.282	0.10700000077486038
0.283	0.08579999953508377
0.284	0.09690000116825104
0.285	0.16519999504089355
0.286	0.11550000309944153
0.287	0.14190000295639038
0.288	0.266400009393692
0.289	0.09470000118017197
0.29	0.1128000020980835
0.291	0.1387999951839447
0.292	0.11900000274181366
0.293	0.1453000009059906
0.294	0.12080000340938568
0.295	0.11089999973773956
0.296	0.0989999994635582
0.297	0.13459999859333038
0.298	0.15049999952316284
0.299	0.13089999556541443
0.3	0.18129999935626984
0.301	0.13089999556541443
0.302	0.15489999949932098
0.303	0.20100000500679016
0.304	0.0982000008225441
0.305	0.1437000036239624
0.306	0.13169999420642853
0.307	0.24250000715255737
0.308	0.18160000443458557
0.309	0.11999999731779099
0.31	0.11129999905824661
0.311	0.15440000593662262
0.312	0.12399999797344208
0.313	0.13269999623298645
0.314	0.10409999638795853
0.315	0.16259999573230743
0.316	0.20739999413490295
0.317	0.11659999936819077
0.318	0.0908999964594841
0.319	0.09920000284910202
0.32	0.1257999986410141
0.321	0.0997999981045723
0.322	0.11309999972581863
0.323	0.14100000262260437
0.324	0.11729999631643295
0.325	0.21080000698566437
0.326	0.20389999449253082
0.327	0.1387999951839447
0.328	0.16459999978542328
0.329	0.11079999804496765
0.33	0.10599999874830246
0.331	0.14309999346733093
0.332	0.10610000044107437
0.333	0.13750000298023224
0.334	0.14990000426769257
0.335	0.13830000162124634
0.336	0.13750000298023224
0.337	0.16699999570846558
0.338	0.1624000072479248
0.339	0.23109999299049377
0.34	0.14399999380111694
0.341	0.15970000624656677
0.342	0.09070000052452087
0.343	0.10050000250339508
0.344	0.24950000643730164
0.345	0.21809999644756317
0.346	0.15780000388622284
0.347	0.11140000075101852
